;Description;ICC;F;df1;df2;pval;CI95%;Stage;Group;Bands;Roi
0;Average fixed raters;0.745957;3.936335;251;753;0.0;[0.69 0.79];Preprocessed data;Young Adult;delta;F
1;Average fixed raters;0.914492;11.694756;251;753;0.0;[0.9  0.93];Preprocessed data;Young Adult;theta;F
2;Average fixed raters;0.87769;8.175962;251;753;0.0;[0.85 0.9 ];Preprocessed data;Young Adult;alpha-1;F
3;Average fixed raters;0.849877;6.661184;251;753;0.0;[0.82 0.88];Preprocessed data;Young Adult;alpha-2;F
4;Average fixed raters;0.900135;10.013519;251;753;0.0;[0.88 0.92];Preprocessed data;Young Adult;beta1;F
5;Average fixed raters;0.925704;13.459694;251;753;0.0;[0.91 0.94];Preprocessed data;Young Adult;beta2;F
6;Average fixed raters;0.915674;11.858693;251;753;0.0;[0.9  0.93];Preprocessed data;Young Adult;beta3;F
7;Average fixed raters;0.802584;5.065458;251;753;0.0;[0.76 0.84];Preprocessed data;Young Adult;gamma;F
8;Average fixed raters;0.8251;5.717542;269;807;0.0;[0.79 0.86];Preprocessed data;Young Adult;delta;C
9;Average fixed raters;0.931385;14.574119;269;807;0.0;[0.92 0.94];Preprocessed data;Young Adult;theta;C
10;Average fixed raters;0.884214;8.636648;269;807;0.0;[0.86 0.91];Preprocessed data;Young Adult;alpha-1;C
11;Average fixed raters;0.882689;8.524338;269;807;0.0;[0.86 0.9 ];Preprocessed data;Young Adult;alpha-2;C
12;Average fixed raters;0.917824;12.168974;269;807;0.0;[0.9  0.93];Preprocessed data;Young Adult;beta1;C
13;Average fixed raters;0.944461;18.005508;269;807;0.0;[0.93 0.95];Preprocessed data;Young Adult;beta2;C
14;Average fixed raters;0.921102;12.674559;269;807;0.0;[0.9  0.94];Preprocessed data;Young Adult;beta3;C
15;Average fixed raters;0.756553;4.107662;269;807;0.0;[0.71 0.8 ];Preprocessed data;Young Adult;gamma;C
16;Average fixed raters;0.727593;3.670981;341;1023;0.0;[0.68 0.77];Preprocessed data;Young Adult;delta;PO
17;Average fixed raters;0.91226;11.397363;341;1023;0.0;[0.9  0.93];Preprocessed data;Young Adult;theta;PO
18;Average fixed raters;0.886649;8.822181;341;1023;0.0;[0.87 0.91];Preprocessed data;Young Adult;alpha-1;PO
19;Average fixed raters;0.868602;7.610454;341;1023;0.0;[0.84 0.89];Preprocessed data;Young Adult;alpha-2;PO
20;Average fixed raters;0.901498;10.152116;341;1023;0.0;[0.88 0.92];Preprocessed data;Young Adult;beta1;PO
21;Average fixed raters;0.937634;16.034304;341;1023;0.0;[0.93 0.95];Preprocessed data;Young Adult;beta2;PO
22;Average fixed raters;0.895587;9.57739;341;1023;0.0;[0.88 0.91];Preprocessed data;Young Adult;beta3;PO
23;Average fixed raters;0.862491;7.272243;341;1023;0.0;[0.84 0.88];Preprocessed data;Young Adult;gamma;PO
24;Average fixed raters;0.683851;3.163061;179;537;0.0;[0.6  0.75];Preprocessed data;Young Adult;delta;T
25;Average fixed raters;0.926718;13.645857;179;537;0.0;[0.91 0.94];Preprocessed data;Young Adult;theta;T
