;ICC;F;df1;df2;pval;CI95%;Description;Stage;Group;Bands;Components
0;0.895975;9.613065;17;51;0.0;[0.79 0.96];Average fixed raters;Preprocessed data;CTR;delta;AF3
1;0.970218;33.576863;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;theta;AF3
2;0.94558;18.375491;17;51;0.0;[0.89 0.98];Average fixed raters;Preprocessed data;CTR;alpha-1;AF3
3;0.948608;19.458278;17;51;0.0;[0.89 0.98];Average fixed raters;Preprocessed data;CTR;alpha-2;AF3
4;0.969722;33.027062;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;beta1;AF3
5;0.931889;14.68196;17;51;0.0;[0.86 0.97];Average fixed raters;Preprocessed data;CTR;beta2;AF3
6;0.968074;31.321996;17;51;0.0;[0.93 0.99];Average fixed raters;Preprocessed data;CTR;beta3;AF3
7;0.94116;16.995346;17;51;0.0;[0.88 0.98];Average fixed raters;Preprocessed data;CTR;gamma;AF3
8;0.908377;10.914308;17;51;0.0;[0.81 0.96];Average fixed raters;Preprocessed data;CTR;delta;AF4
9;0.969771;33.080572;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;theta;AF4
10;0.934235;15.2056;17;51;0.0;[0.87 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;AF4
11;0.935496;15.502927;17;51;0.0;[0.87 0.97];Average fixed raters;Preprocessed data;CTR;alpha-2;AF4
12;0.97015;33.500942;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;beta1;AF4
13;0.953949;21.715183;17;51;0.0;[0.91 0.98];Average fixed raters;Preprocessed data;CTR;beta2;AF4
14;0.966264;29.641493;17;51;0.0;[0.93 0.99];Average fixed raters;Preprocessed data;CTR;beta3;AF4
15;0.902069;10.211275;17;51;0.0;[0.8  0.96];Average fixed raters;Preprocessed data;CTR;gamma;AF4
16;0.922679;12.933154;17;51;0.0;[0.84 0.97];Average fixed raters;Preprocessed data;CTR;delta;C1
17;0.979482;48.738071;17;51;0.0;[0.96 0.99];Average fixed raters;Preprocessed data;CTR;theta;C1
18;0.938776;16.333375;17;51;0.0;[0.87 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;C1
19;0.927214;13.738843;17;51;0.0;[0.85 0.97];Average fixed raters;Preprocessed data;CTR;alpha-2;C1
20;0.943973;17.8485;17;51;0.0;[0.89 0.98];Average fixed raters;Preprocessed data;CTR;beta1;C1
21;0.963674;27.528245;17;51;0.0;[0.93 0.98];Average fixed raters;Preprocessed data;CTR;beta2;C1
22;0.959223;24.523495;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;beta3;C1
23;0.912873;11.477532;17;51;0.0;[0.82 0.96];Average fixed raters;Preprocessed data;CTR;gamma;C1
24;0.923192;13.019425;17;51;0.0;[0.84 0.97];Average fixed raters;Preprocessed data;CTR;delta;C2
25;0.960757;25.482421;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;theta;C2
26;0.9351;15.408394;17;51;0.0;[0.87 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;C2
27;0.945947;18.500286;17;51;0.0;[0.89 0.98];Average fixed raters;Preprocessed data;CTR;alpha-2;C2
28;0.958481;24.085362;17;51;0.0;[0.91 0.98];Average fixed raters;Preprocessed data;CTR;beta1;C2
29;0.968967;32.22399;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;beta2;C2
30;0.970065;33.405208;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;beta3;C2
31;0.881764;8.457681;17;51;0.0;[0.76 0.95];Average fixed raters;Preprocessed data;CTR;gamma;C2
32;0.862206;7.257221;17;51;0.0;[0.72 0.94];Average fixed raters;Preprocessed data;CTR;delta;C3
33;0.973617;37.903411;17;51;0.0;[0.95 0.99];Average fixed raters;Preprocessed data;CTR;theta;C3
34;0.933131;14.954647;17;51;0.0;[0.86 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;C3
35;0.941498;17.093363;17;51;0.0;[0.88 0.98];Average fixed raters;Preprocessed data;CTR;alpha-2;C3
36;0.948151;19.286658;17;51;0.0;[0.89 0.98];Average fixed raters;Preprocessed data;CTR;beta1;C3
37;0.931915;14.687529;17;51;0.0;[0.86 0.97];Average fixed raters;Preprocessed data;CTR;beta2;C3
38;0.952531;21.066208;17;51;0.0;[0.9  0.98];Average fixed raters;Preprocessed data;CTR;beta3;C3
39;0.840465;6.268206;17;51;0.0;[0.67 0.93];Average fixed raters;Preprocessed data;CTR;gamma;C3
40;0.90715;10.770016;17;51;0.0;[0.81 0.96];Average fixed raters;Preprocessed data;CTR;delta;C4
41;0.973395;37.586868;17;51;0.0;[0.95 0.99];Average fixed raters;Preprocessed data;CTR;theta;C4
